Title,Link,Logo,Categories,Location,Type,Deadline
Optical Technician Attachment | Baus Optical Jobs Nairobi,https://findjobske.com/job/optical-technician-attachment-baus-optical/,https://findjobske.com/wp-content/uploads/2026/01/Baus-Optical-Company-Limited-150x150.jpg,,N/A,"January 23, 2026"
Disability Inclusive Youth Counselor | TechnoServe Kenya Jobs,https://findjobske.com/job/disability-inclusiv-youth-counselor-technoserve/,https://findjobske.com/wp-content/uploads/2025/05/TechnoServe-Kenya-1-150x150.png,,N/A,"January 23, 2026"
Relationship Manager – Credit | Equity Bank Jobs Nairobi,https://findjobske.com/job/relationship-manager-credit-equity-bank-kenya/,https://findjobske.com/wp-content/uploads/2025/11/Equity-Bank-Kenya-150x150.jpeg,,N/A,"January 23, 2026"
Head of People & Culture | Numida Technologies Jobs Nairobi,https://findjobske.com/job/head-of-people-culture-numida-technologies/,https://findjobske.com/wp-content/uploads/2026/01/Numida-Technologies-K-Limited.png,"HR, Human Resource",Full Time,"January 23, 2026"
Fractional Fundraising & Donor Relations Specialist | TUME Consulting,https://findjobske.com/job/fractional-fundraising-donor-relations-tume/,https://findjobske.com/wp-content/uploads/2025/08/TUME-Middle-Africa-Consulting-Limited-150x150.webp,Media / Advertising / Branding,Full Time,"January 23, 2026"
Operations Support Officer | Demulla Jobs Nairobi,https://findjobske.com/job/operations-support-officer-demulla-jobs-nairobi/,https://findjobske.com/wp-content/uploads/2025/12/Demulla-150x150.jpeg,Administration / Secretarial,Full Time,"January 23, 2026"
Senior Account Associate | Clovers Management Jobs Nairobi,https://findjobske.com/job/senior-account-associate-clovers-management/,https://findjobske.com/wp-content/uploads/2025/12/Clovers-Management-Training-Consultants-Ltd-150x150.jpg,,N/A,"January 23, 2026"
Hospital Administrator | Huruma Nursing Home Jobs Nairobi,https://findjobske.com/job/hospital-administrator-huruma-nursing-home/,https://findjobske.com/wp-content/uploads/2026/01/Huruma-Nursing-Home-150x150.png,"Healthcare, Healthcare / Medical",Full Time,"January 23, 2026"
PE & Sports Teacher | Greensteds International School Jobs,https://findjobske.com/job/pe-sports-teacher-greensteds-international-sch/,https://findjobske.com/wp-content/uploads/2025/09/Greensteds-International-School-150x150.webp,"Education, Education / Teaching",Full Time,"January 23, 2026"
HR & Marketing Specialist | Puratos Jobs Nairobi,https://findjobske.com/job/hr-marketing-specialist-puratos-jobs-nairobi/,https://findjobske.com/wp-content/uploads/2026/01/Puratos-150x150.png,"Food Services, HR, Human Resource",Full Time,"January 23, 2026"
